timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
870783492,5.055844,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
871283492,5.0398316,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
871783527,5.034897,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
872283492,5.050305,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
872783493,5.056549,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
873283492,5.018884,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
873783493,5.0528226,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
874283896,5.055139,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
874783740,5.043054,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
875283708,5.05101,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
875783496,5.057556,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
876283813,5.057153,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
876783495,5.0566497,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
877283535,5.0530243,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
877783492,5.027142,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
878283493,5.057959,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
878783492,5.054132,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
879283521,5.0222077,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
879783509,5.0394287,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
880283539,5.050607,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
880783511,5.0277467,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
881283493,5.041846,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
881783494,5.057153,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
882283492,5.0566497,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
882783493,5.030566,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
883283492,5.057254,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
883783493,5.034897,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
884283493,5.0191865,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
884783650,5.0470824,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
885283579,5.050305,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
885783494,5.0540314,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
886283491,5.059067,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
886783491,5.034494,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
887283492,5.035904,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
887783493,5.0422482,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
888283493,5.0345945,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
888783493,5.0552397,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
889283492,5.059268,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
889783491,5.0353,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
890283495,5.054736,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
890783493,5.041241,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
891283492,5.04104,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
891783492,5.055844,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
892283492,5.0417447,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
892783492,5.0229125,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
893283825,5.047183,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
893783507,5.0708494,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
894283492,5.055844,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
894783492,5.057153,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
895283492,5.0394287,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
895783812,5.026236,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
896283712,5.046982,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
896783674,5.0574555,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
897283511,5.0354004,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
897783493,5.057556,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
898283492,5.0577574,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
898783528,5.020294,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
899283492,5.056851,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
899783493,5.0550385,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
900283492,5.026236,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
900783532,5.039026,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
901283493,5.068634,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
901783492,5.025128,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
902283493,5.0380187,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
902783508,5.057153,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
903283492,5.018985,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
903783496,5.01969,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
904283492,5.050305,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
904783492,5.032782,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
905283492,5.0470824,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
905783492,5.051312,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
906283492,5.0512114,0.0,0.0,0.0,0.0,0,0,3,0,1,0,0,0,0
