timestamp,timestamp_sample,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
321918221,321892314,6.1227884,6.176765,22.007816,1.0
322947974,322918795,5.2953677,5.341175,21.910112,1.0
323897745,323870503,5.90863,5.959729,21.910112,1.0
324897501,324866138,4.5257955,4.5649524,21.910112,1.0
325862268,325829186,5.731546,5.781151,21.910112,1.0
326837035,326804791,6.0805616,6.133182,21.910112,1.0
327916938,327892650,5.455151,5.5023885,21.910112,1.0
328946517,328914350,5.731546,5.780186,21.812408,1.0
329921281,329850703,5.2953677,5.3402734,21.812408,1.0
330926038,330899282,5.6864142,5.7346716,21.812408,1.0
331940793,331907980,5.5488124,5.5958943,21.812408,1.0
332850580,332824664,5.90863,5.95879,21.812408,1.0
333945305,333919308,5.90863,5.9577513,21.714705,1.0
334935068,334901944,5.731548,5.7791877,21.714705,1.0
335909832,335851407,5.455151,5.5004845,21.714705,1.0
336834613,336807475,4.4104624,4.4471517,21.714705,1.0
337929345,337899925,4.601078,4.639276,21.714705,1.0
338904110,338877857,4.1079874,4.141756,21.665854,1.0
339903865,339860337,4.9603853,5.000786,21.616999,1.0
340948613,340922063,4.4104624,4.4463387,21.617,1.0
341948383,341944119,4.9603853,5.000693,21.617,1.0
342898145,342893807,4.9603853,5.000769,21.617,1.0
343902900,343870042,3.498235,3.5261154,21.519297,1.0
344852681,344826001,4.6934857,4.73087,21.519297,1.0
345907553,345874324,4.29203,4.3262258,21.519297,1.0
346937168,346909562,4.6934857,4.730902,21.519297,1.0
347936933,347911979,3.7813942,3.8115053,21.519297,1.0
348926690,348901281,4.6934857,4.7309046,21.519297,1.0
349851556,349824641,4.4104624,4.445591,21.519297,1.0
350931218,350899235,4.5257955,4.5611024,21.421593,1.0
351920996,351914662,4.9603853,4.9990597,21.421593,1.0
352935718,352904068,4.9603868,4.999028,21.421593,1.0
353940481,353913008,4.9603853,4.99905,21.421593,1.0
354915312,354888544,4.9603853,4.9990797,21.421593,1.0
355905006,355877550,4.6934843,4.729993,21.421593,1.0
356904771,356873303,4.9603868,4.999078,21.421593,1.0
