timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
322848030,322847856,0.29883713,-0.024247652,-0.027628409,-0.95359594,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
322898008,322897845,0.29883736,-0.024293749,-0.027600493,-0.95359546,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
322948003,322947832,0.29884514,-0.024242448,-0.027605949,-0.95359415,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
322997987,322997820,0.29883653,-0.024241436,-0.027641138,-0.9535958,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
323047978,323047808,0.29883817,-0.024255777,-0.027594421,-0.9535964,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
323097963,323097796,0.29883236,-0.024251195,-0.027616922,-0.9535977,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
323147946,323147784,0.2988081,-0.024279658,-0.027663186,-0.95360315,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
323197944,323197772,0.29881543,-0.02433426,-0.027626816,-0.9536005,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
323247926,323247760,0.2987908,-0.024357527,-0.027625436,-0.9536077,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
323297912,323297748,0.2987627,-0.024340834,-0.027679147,-0.9536154,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
323347935,323347735,0.29875413,-0.024370845,-0.027673395,-0.95361745,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
323397896,323397723,0.29872158,-0.024346866,-0.027736222,-0.95362645,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
323447917,323447711,0.2987143,-0.02436472,-0.027756348,-0.9536277,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
323497863,323497699,0.2986876,-0.024324479,-0.02770862,-0.95363843,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
323547847,323547687,0.29869443,-0.024356198,-0.027719714,-0.9536352,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
323597835,323597675,0.298689,-0.024362123,-0.027755404,-0.9536357,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
323647838,323647663,0.29867715,-0.024319027,-0.0277579,-0.95364046,0.99997073,3.1922478e-09,-2.3746525e-09,0.0076546185,2
