timestamp,bias_x[0],bias_x[1],bias_x[2],bias_x[3],bias_y[0],bias_y[1],bias_y[2],bias_y[3],bias_z[0],bias_z[1],bias_z[2],bias_z[3],valid[0],valid[1],valid[2],valid[3],stable[0],stable[1],stable[2],stable[3]
320935152,-0.00016152699,0.00063734193,0.0,0.0,0.00028794157,0.0005546665,0.0,0.0,0.00016521203,0.0002723885,0.0,0.0,0,0,0,0,0,0,0,0
320950204,-0.00016412433,0.0006323083,0.0,0.0,0.00028930578,0.0005576966,0.0,0.0,0.00016489837,0.0002711694,0.0,0.0,0,0,0,0,0,0,0,0
321150203,-0.0001764815,0.00062250945,0.0,0.0,0.0002687743,0.0005591447,0.0,0.0,0.00016153199,0.00025250932,0.0,0.0,0,0,0,0,0,0,0,0
321350204,-0.0001830126,0.00061454147,0.0,0.0,0.00029735177,0.00051892275,0.0,0.0,0.00016048388,0.00025662634,0.0,0.0,0,0,0,0,0,0,0,0
321530204,-0.00018849887,0.0006094374,0.0,0.0,0.0002897078,0.0005141474,0.0,0.0,0.00017045131,0.0002576997,0.0,0.0,0,0,0,0,0,0,0,0
321730200,-0.00017434762,0.0006315395,0.0,0.0,0.0003010913,0.00051900244,0.0,0.0,0.00016834114,0.00027125626,0.0,0.0,0,0,0,0,0,0,0,0
321950204,-0.0001784157,0.0006241954,0.0,0.0,0.00030624607,0.00050479703,0.0,0.0,0.00016761782,0.00026657752,0.0,0.0,0,0,0,0,0,0,0,0
322150204,-0.00018671581,0.00065706956,0.0,0.0,0.00032341995,0.00051307183,0.0,0.0,0.0001731622,0.00026231378,0.0,0.0,0,0,0,0,0,0,0,0
322350202,-0.00018832702,0.00066109124,0.0,0.0,0.0003088391,0.00050652056,0.0,0.0,0.00016502276,0.0002614975,0.0,0.0,0,0,0,0,0,0,0,0
322550230,-0.00020440602,0.0006519483,0.0,0.0,0.00030272646,0.00050405035,0.0,0.0,0.00016155663,0.00024032476,0.0,0.0,0,0,0,0,0,0,0,0
322750203,-0.00021287311,0.0006490661,0.0,0.0,0.00030325758,0.00047395943,0.0,0.0,0.00015242289,0.0002437909,0.0,0.0,0,0,0,0,0,0,0,0
322930281,-0.00020415828,0.0006322425,0.0,0.0,0.00030810936,0.00045354644,0.0,0.0,0.00014960046,0.00024656873,0.0,0.0,0,0,0,0,0,0,0,0
323130203,-0.00019454595,0.0006242869,0.0,0.0,0.00032102352,0.00045458405,0.0,0.0,0.00016664695,0.0002534548,0.0,0.0,0,0,0,0,0,0,0,0
323350204,-0.00019504147,0.0006137994,0.0,0.0,0.00031182446,0.00042992766,0.0,0.0,0.00016537638,0.00025170698,0.0,0.0,0,0,0,0,0,0,0,0
323550223,-0.0001918959,0.00061852875,0.0,0.0,0.0003072306,0.00041751264,0.0,0.0,0.00015174222,0.00025464574,0.0,0.0,0,0,0,0,0,0,0,0
323750392,-0.00020162675,0.0006256065,0.0,0.0,0.00031197176,0.00042353533,0.0,0.0,0.00015289236,0.00027182515,0.0,0.0,0,0,0,0,0,0,0,0
323950277,-0.0001997862,0.0006250915,0.0,0.0,0.00033219747,0.00039595005,0.0,0.0,0.00014722637,0.00023972112,0.0,0.0,0,0,0,0,0,0,0,0
324150203,-0.00021041879,0.00063727744,0.0,0.0,0.0003070227,0.00040827718,0.0,0.0,0.0001608081,0.00022162747,0.0,0.0,0,0,0,0,0,0,0,0
324330276,-0.0001933673,0.0006527869,0.0,0.0,0.00032427016,0.00041311182,0.0,0.0,0.00016834497,0.00022468308,0.0,0.0,0,0,0,0,0,0,0,0
324530227,-0.00020121581,0.0006352099,0.0,0.0,0.00032587914,0.00045721597,0.0,0.0,0.00017804779,0.00022627023,0.0,0.0,0,0,0,0,0,0,0,0
324750204,-0.00019413525,0.00063224457,0.0,0.0,0.00030307396,0.0004832847,0.0,0.0,0.00018177189,0.00020881448,0.0,0.0,0,0,0,0,0,0,0,0
324950203,-0.00021267554,0.00066089653,0.0,0.0,0.0003016415,0.00051013305,0.0,0.0,0.00019052286,0.00019129089,0.0,0.0,0,0,0,0,0,0,0,0
325150201,-0.00021519403,0.00067895825,0.0,0.0,0.00029597216,0.000501139,0.0,0.0,0.00020059368,0.00020617746,0.0,0.0,0,0,0,0,0,0,0,0
325350204,-0.00024667403,0.00069824385,0.0,0.0,0.00029926546,0.0005001359,0.0,0.0,0.00019427174,0.00021647484,0.0,0.0,0,0,0,0,0,0,0,0
325550199,-0.00024932474,0.0006918193,0.0,0.0,0.0003082122,0.0005115125,0.0,0.0,0.00018824708,0.00020106707,0.0,0.0,0,0,0,0,0,0,0,0
325730204,-0.0002445235,0.00069999567,0.0,0.0,0.00031889608,0.00050986646,0.0,0.0,0.00018268886,0.00017913089,0.0,0.0,0,0,0,0,0,0,0,0
325930204,-0.00023308244,0.00071194145,0.0,0.0,0.00030532404,0.0005096917,0.0,0.0,0.00018035318,0.00017791148,0.0,0.0,0,0,0,0,0,0,0,0
326150347,-0.00020461308,0.0007070215,0.0,0.0,0.0002901483,0.0005092581,0.0,0.0,0.00018428722,0.00016887608,0.0,0.0,0,0,0,0,0,0,0,0
326350204,-0.00023403374,0.0007200983,0.0,0.0,0.00030273892,0.00051918975,0.0,0.0,0.00017968942,0.0001706091,0.0,0.0,0,0,0,0,0,0,0,0
