timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
871049218,871049128,4325386,0.006604639,-0.009161274,0.0040480047,nan,0,5
872046552,872046400,4325386,0.0044741104,0.006604639,0.011717908,nan,0,5
873046253,873046167,4325386,0.0014913701,-0.011504855,-0.0014913701,nan,0,5
874046157,874045937,4325386,0.00021305287,-0.0021305287,0.0063915863,nan,0,5
875045795,875045706,4325386,0.015978966,0.017257283,0.016405072,nan,0,5
876048066,876047975,4325386,-0.003408846,-0.008309062,-0.006817692,nan,0,5
877047832,877047745,4325386,-0.013209278,-0.02450108,-0.0063915863,nan,0,5
878050102,878050014,4325386,0.016831176,0.0008522115,0.007030745,nan,0,5
879047369,879047284,4325386,0.0029827403,-0.011291802,-0.0027696874,nan,0,5
880047141,880047054,4325386,-0.014913701,0.0021305287,0.008948221,nan,0,5
881049411,881049323,4325386,0.014913701,-0.0027696874,-0.012783173,nan,0,5
882046683,882046593,4325386,0.0040480047,0.009587379,-0.0025566346,nan,0,5
883046500,883046362,4325386,0.0029827403,-0.005326322,-0.007882956,nan,0,5
884048718,884048631,4325386,-0.0010652643,-0.014274542,-0.016192019,nan,0,5
885048487,885048401,4325386,-0.013209278,-0.007030745,-0.027909927,nan,0,5
886045757,886045672,4325386,0.0072437976,-0.019600864,0.0038349517,nan,0,5
887048030,887047941,4325386,-0.019174758,0.0036218988,-0.014913701,nan,0,5
888047801,888047711,4325386,-0.044954155,-0.012996226,-0.005326322,nan,0,5
889045065,889044981,4325386,-0.04005394,-0.005113269,0.012783173,nan,0,5
890047339,890047251,4325386,0.02450108,-0.0063915863,-0.010439591,nan,0,5
891047110,891047021,4325386,0.02812298,-0.017683389,0.0063915863,nan,0,5
892049379,892049291,4325386,-0.005113269,0.0044741104,-0.013209278,nan,0,5
893046651,893046561,4325386,-0.0019174758,0.029401297,-0.0063915863,nan,0,5
894046472,894046331,4325386,-0.013209278,0.00063915865,0.010652644,nan,0,5
895048689,895048601,4325386,0.0036218988,-0.020879181,0.0021305287,nan,0,5
896045961,896045872,4325386,0.0010652643,0.008309062,-0.0042610574,nan,0,5
897045731,897045642,4325386,-0.022583604,-0.012570119,0.014487595,nan,0,5
898047996,898047912,4325386,0.0059654806,-0.015126754,-0.010439591,nan,0,5
899047767,899047682,4325386,0.028549084,-0.004900216,-0.0025566346,nan,0,5
900047540,900047453,4325386,-0.008309062,-0.017257283,-0.006178533,nan,0,5
901047313,901047224,4325386,-0.0023435815,-0.015978966,0.0010652643,nan,0,5
902049584,902049493,4325386,-0.023222763,-0.007882956,0.00063915865,nan,0,5
903046850,903046765,4325386,-0.0029827403,-0.038775623,0.008309062,nan,0,5
904046623,904046535,4325386,-0.017896442,0.005113269,0.0023435815,nan,0,5
905048894,905048805,4325386,-0.02300971,0.01704423,0.01107875,nan,0,5
906048802,906048576,4325386,-0.0027696874,0.00021305287,-0.005539375,nan,0,5
