timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check,at_rest
869634817,0,0,0,1,0,0,0,0,0,0,0
870644717,0,0,0,1,0,0,0,0,0,0,0
871654357,0,0,0,1,0,0,0,0,0,0,0
872664146,0,0,0,1,0,0,0,0,0,0,0
873673905,0,0,0,1,0,0,0,0,0,0,0
874683701,0,0,0,1,0,0,0,0,0,0,0
875693544,0,0,0,1,0,0,0,0,0,0,0
876703214,0,0,0,1,0,0,0,0,0,0,0
877712995,0,0,0,1,0,0,0,0,0,0,0
878722737,0,0,0,1,0,0,0,0,0,0,0
879727512,0,0,0,1,0,0,0,0,0,0,0
880732371,0,0,0,1,0,0,0,0,0,0,0
881742034,0,0,0,1,0,0,0,0,0,0,0
882751854,0,0,0,1,0,0,0,0,0,0,0
883761535,0,0,0,1,0,0,0,0,0,0,0
884771446,0,0,0,1,0,0,0,0,0,0,0
885781144,0,0,0,1,0,0,0,0,0,0,0
886790932,0,0,0,1,0,0,0,0,0,0,0
887800607,0,0,0,1,0,0,0,0,0,0,0
888810388,0,0,0,1,0,0,0,0,0,0,0
889820244,0,0,0,1,0,0,0,0,0,0,0
890829994,0,0,0,1,0,0,0,0,0,0,0
891839682,0,0,0,1,0,0,0,0,0,0,0
892849465,0,0,0,1,0,0,0,0,0,0,0
893859220,0,0,0,1,0,0,0,0,0,0,0
894869027,0,0,0,1,0,0,0,0,0,0,0
895878777,0,0,0,1,0,0,0,0,0,0,0
896888533,0,0,0,1,0,0,0,0,0,0,0
897898307,0,0,0,1,0,0,0,0,0,0,0
898908083,0,0,0,1,0,0,0,0,0,0,0
899917838,0,0,0,1,0,0,0,0,0,0,0
900927624,0,0,0,1,0,0,0,0,0,0,0
901937477,0,0,0,1,0,0,0,0,0,0,0
902947178,0,0,0,1,0,0,0,0,0,0,0
903956955,0,0,0,1,0,0,0,0,0,0,0
904966704,0,0,0,1,0,0,0,0,0,0,0
905026708,0,0,0,1,0,0,0,0,0,0,1
905186630,0,0,0,1,0,0,0,0,0,0,0
906196468,0,0,0,1,0,0,0,0,0,0,0
