timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
871067512,871067339,2490378,-1.5561115,0.7863756,-9.841366,34.96679,0,0,0,0,20
872062851,872062678,2490378,-1.3694834,0.961272,-9.635704,34.945652,0,0,0,0,20
873065654,873065482,2490378,-1.5258248,0.58143187,-10.530178,34.90338,0,0,0,0,20
874065982,874065798,2490378,-1.2659341,0.85377234,-10.184336,34.836956,0,0,0,0,20
875063799,875063625,2490378,-1.4281414,0.9218874,-10.11227,34.8128,0,0,0,0,20
876064113,876063940,2490378,-1.3219585,1.0469844,-10.073125,34.888287,0,0,0,0,20
877064431,877064257,2490378,-1.5157691,0.8725668,-9.931269,34.87017,0,0,0,0,20
878067231,878067060,2490378,-1.4022839,1.2106282,-9.353308,34.91546,0,0,0,0,20
879065067,879064887,2490378,-1.3432668,0.76626426,-9.502228,34.933575,0,0,0,0,20
880065375,880065203,2490378,-1.4273932,0.82103163,-9.325087,34.897343,0,0,0,0,20
881065692,881065519,2490378,-1.3401544,0.994312,-9.350196,34.921497,0,0,0,0,20
882063515,882063346,2490378,-1.4456489,0.9234436,-9.37737,34.948673,0,0,0,0,20
883063836,883063662,2490378,-1.5777789,0.8750807,-9.756731,34.92452,0,0,0,0,20
884066645,884066466,2490378,-1.3180081,0.9707291,-9.566033,34.96075,0,0,0,0,20
885066955,885066781,2490378,-1.3653833,1.1261727,-9.585935,34.91244,0,0,0,0,20
886064781,886064609,2490378,-1.3579912,0.91697925,-9.442732,34.96075,0,0,0,0,20
887065094,887064924,2490378,-1.4408007,1.0440515,-9.239105,34.948673,0,0,0,0,20
888065465,888065240,2490378,-1.4771626,1.1068095,-9.149712,34.933575,0,0,0,0,20
889063243,889063068,2490378,-1.270962,0.8678981,-9.128732,34.921497,0,0,0,0,20
890063556,890063384,2490378,-1.5767015,1.1522096,-9.665872,34.921497,0,0,0,0,20
891066357,891066188,2490378,-1.3230358,0.85532856,-10.024642,34.948673,0,0,0,0,20
892066675,892066504,2490378,-1.3887568,0.8324639,-9.971132,34.927536,0,0,0,0,20
893064515,893064332,2490378,-1.469561,1.1043255,-10.082342,34.95169,0,0,0,0,20
894064822,894064648,2490378,-1.2621034,1.067814,-9.903615,34.948673,0,0,0,0,20
895065139,895064964,2490378,-1.417966,1.0060436,-9.933064,34.95773,0,0,0,0,20
896062965,896062792,2490378,-1.4004883,1.1137826,-9.904453,34.90338,0,0,0,0,20
897063280,897063108,2490378,-1.6067488,0.9069236,-10.252451,34.894325,0,0,0,0,20
898066085,898065913,2490378,-1.4341269,0.84278893,-9.143636,34.788647,0,0,0,0,20
899066403,899066229,2490378,-1.5931019,0.82659817,-9.640014,34.927536,0,0,0,0,20
900064226,900064057,2490378,-1.2768278,1.0341754,-9.436986,34.978867,0,0,0,0,20
901064545,901064373,2490378,-1.2070069,1.0965743,-9.473198,34.882248,0,0,0,0,20
902064860,902064690,2490378,-1.3874998,1.2324452,-9.436716,34.930557,0,0,0,0,20
903062692,903062518,2490378,-1.2960113,0.987698,-9.478644,34.87017,0,0,0,0,20
904065493,904065323,2490378,-1.4986506,0.8956709,-9.518508,34.95773,0,0,0,0,20
905065812,905065641,2490378,-1.4421474,0.9878476,-9.711122,34.945652,0,0,0,0,20
906066128,906065956,2490378,-1.6497247,0.94989955,-9.537303,34.891304,0,0,0,0,20
