timestamp,timestamp_sample,switch_changes,mode_slot,arm_switch,return_switch,loiter_switch,offboard_switch,kill_switch,gear_switch,transition_switch,photo_switch,video_switch
870003224,869970406,1,6,0,0,0,0,0,0,0,0,0
871018116,870985217,1,6,0,0,0,0,0,0,0,0,0
872037922,872009943,1,6,0,0,0,0,0,0,0,0,0
873062498,873029701,1,6,0,0,0,0,0,0,0,0,0
874072391,874039594,1,6,0,0,0,0,0,0,0,0,0
875082123,875049283,1,6,0,0,0,0,0,0,0,0,0
876111928,876078981,1,6,0,0,0,0,0,0,0,0,0
877126501,877093732,1,6,0,0,0,0,0,0,0,0,0
878141323,878108501,1,6,0,0,0,0,0,0,0,0,0
879151002,879118300,1,6,0,0,0,0,0,0,0,0,0
880160849,880133035,1,6,0,0,0,0,0,0,0,0,0
881175646,881142807,1,6,0,0,0,0,0,0,0,0,0
882185837,882152666,1,6,0,0,0,0,0,0,0,0,0
883210234,883177332,1,6,0,0,0,0,0,0,0,0,0
884229898,884202102,1,6,0,0,0,0,0,0,0,0,0
885239779,885206933,1,6,0,0,0,0,0,0,0,0,0
886249510,886216664,1,6,0,0,0,0,0,0,0,0,0
887274193,887246389,1,6,0,0,0,0,0,0,0,0,0
888303997,888271159,1,6,0,0,0,0,0,0,0,0,0
889313863,889281052,1,6,0,0,0,0,0,0,0,0,0
890323578,890290709,1,6,0,0,0,0,0,0,0,0,0
891348333,891320471,1,6,0,0,0,0,0,0,0,0,0
892373323,892345223,1,6,0,0,0,0,0,0,0,0,0
893387868,893355032,1,6,0,0,0,0,0,0,0,0,0
894417556,894384821,1,6,0,0,0,0,0,0,0,0,0
895437377,895404553,1,6,0,0,0,0,0,0,0,0,0
896462205,896434312,1,6,0,0,0,0,0,0,0,0,0
897486804,897454060,1,6,0,0,0,0,0,0,0,0,0
898496631,898468835,1,6,0,0,0,0,0,0,0,0,0
899506549,899473590,1,6,0,0,0,0,0,0,0,0,0
900521138,900488345,1,6,0,0,0,0,0,0,0,0,0
901530938,901503110,1,6,0,0,0,0,0,0,0,0,0
902555805,902522888,1,6,0,0,0,0,0,0,0,0,0
903570495,903537680,1,6,0,0,0,0,0,0,0,0,0
904585280,904552501,1,6,0,0,0,0,0,0,0,0,0
905610120,905582212,1,6,0,0,0,0,0,0,0,0,0
