E603 Drela
   0.8907117      0.2068341E-02
   0.9034203      0.2262751E-02
   0.9160520      0.2323223E-02
   0.9285098      0.2258915E-02
   0.9406401      0.2082991E-02
   0.9522260      0.1814728E-02
   0.9630114      0.1480244E-02
   0.9727657      0.1109732E-02
   0.9813601      0.7313523E-03
   0.9887983      0.3656347E-03
   0.9951853      0.2392365E-04
   0.9999943     -0.2499345E-03
