timestamp,rxerrors,fix,rssi,remote_rssi,txbuf,noise,remote_noise
320779634,0,0,166,159,98,29,35
321701429,0,0,165,161,99,22,43
322725651,0,0,160,158,98,25,47
323771931,0,0,165,160,97,26,60
324700170,0,0,164,158,96,23,50
325733635,0,0,166,160,100,24,49
326767808,0,0,167,160,100,25,44
327696281,0,0,164,159,100,24,44
328730826,0,0,162,157,100,24,44
329693061,0,0,164,155,100,24,44
330700045,0,0,159,156,97,23,52
331719364,0,0,162,158,97,20,30
332788417,0,0,164,155,97,26,48
333701636,0,0,163,151,100,22,42
334725585,0,0,159,149,100,24,44
335784634,0,0,158,157,95,23,48
336702497,0,0,161,151,100,23,57
337749697,0,0,162,154,97,24,52
338772297,0,0,166,160,97,20,49
339705067,0,0,164,157,99,22,47
340746191,0,0,165,149,93,22,42
341769439,0,0,160,147,99,21,42
342697871,0,0,162,156,100,21,40
343739923,0,0,160,156,100,22,52
344781300,0,0,160,158,100,24,52
345702839,0,0,161,154,99,25,46
346729929,0,0,163,157,97,23,44
347789627,0,0,162,156,97,22,46
348716595,0,0,165,159,100,22,35
349736348,0,0,164,159,100,22,52
350785879,0,0,166,157,100,24,40
351708040,0,0,162,154,100,30,46
352742399,0,0,164,157,100,23,44
353773615,0,0,160,149,100,24,49
354717361,0,0,162,155,99,21,35
355755303,0,0,160,152,97,22,36
356778452,0,0,165,154,100,27,45
357699894,0,0,164,156,100,21,45
