timestamp,safety_switch_available,safety_off
320170635,1,1
321180608,1,1
322189608,1,1
323198637,1,1
324206626,1,1
325215608,1,1
326223607,1,1
327231607,1,1
328239607,1,1
329247630,1,1
330256608,1,1
331265607,1,1
332270993,1,1
333278613,1,1
334287613,1,1
335296630,1,1
336305607,1,1
337314838,1,1
338322630,1,1
339331607,1,1
340338607,1,1
341346607,1,1
342355607,1,1
343362607,1,1
344370607,1,1
345378607,1,1
346385608,1,1
347393607,1,1
348402608,1,1
349411934,1,1
350420607,1,1
351428630,1,1
352437613,1,1
353445956,1,1
354452607,1,1
355460608,1,1
356468607,1,1
357476608,1,1
