timestamp,safety_switch_available,safety_off
690177608,1,1
691180608,1,1
692188607,1,1
693197667,1,1
694206608,1,1
695215658,1,1
696223630,1,1
697232632,1,1
698241607,1,1
699250638,1,1
700259607,1,1
701268607,1,1
702276610,1,1
703285607,1,1
704290607,1,1
705299630,1,1
706308609,1,1
707316607,1,1
708325607,1,1
709333607,1,1
710342607,1,1
711350622,1,1
712359607,1,1
713368608,1,1
714377607,1,1
715386623,1,1
716394607,1,1
717401641,1,1
718410607,1,1
719417607,1,1
720425607,1,1
721433644,1,1
722442607,1,1
723451644,1,1
724460607,1,1
725469935,1,1
726477608,1,1
727486608,1,1
728495736,1,1
729503608,1,1
