timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
390716624,4259850,4325386,0,0,0,0,0,401.28412,400.09604,2006.4205,2000.4801,0.09312252,0.010253189,5.2123278e-11,-0.55859613,-0.2905381,-9.725484,0.003353648,-0.006380386,-1.32932855e-05,0.0004700599,0.002084612,0.0053488347,4.6324516e-05,0.00011563657,0.00010103087,35.5,nan
391756365,4259850,4325386,0,0,0,0,0,401.28412,400.09604,2006.4205,2000.4801,0.07526845,0.009728113,4.780406e-11,-0.5546243,-0.29802573,-9.726418,0.0037432045,-0.0047692033,-0.0013723728,0.0006112284,0.0020207074,0.0040156976,4.349382e-05,7.2251896e-05,0.000111428264,35.5,nan
392801161,4259850,4325386,0,0,0,0,0,401.28412,400.09604,2006.4205,2000.4801,0.07760245,0.009728298,4.3487235e-11,-0.5574782,-0.28654036,-9.725535,0.0020093592,-0.0037221229,-0.00015537499,0.00019836325,0.0017791912,0.005765974,5.5923192e-05,7.232268e-05,7.41789e-05,35.5,nan
393740901,4259850,4325386,0,0,0,0,0,401.28412,400.09604,2006.4205,2000.4801,0.0794079,0.010089619,5.8061604e-11,-0.5578437,-0.2859777,-9.7135,0.0024855274,-0.0039152415,-0.0010717902,0.00035632067,0.0018110949,0.004120202,7.202077e-05,7.88577e-05,9.382279e-05,35.5,nan
394780661,4259850,4325386,0,0,0,0,0,401.28412,400.09604,2006.4205,2000.4801,0.07414796,0.010339582,4.9443057e-11,-0.5528888,-0.28780177,-9.705867,0.003084482,-0.004793074,-0.00061717076,0.00012671237,0.0019479985,0.005607534,8.899381e-05,8.654034e-05,8.113328e-05,35.5,nan
395720421,4259850,4325386,0,0,0,0,0,401.28412,400.09604,2006.4205,2000.4801,0.08830478,0.010321084,7.929411e-11,-0.56068546,-0.30090943,-9.712795,0.00408613,-0.004899156,-0.00019660688,-7.3330164e-05,0.00263589,0.0077654533,6.8626316e-05,9.456244e-05,0.000107473854,35.5,nan
396760169,4259850,4325386,0,0,0,0,0,401.28412,400.09604,2006.4205,2000.4801,0.07673381,0.009763873,6.301426e-11,-0.5574587,-0.28455335,-9.71213,0.0045478395,-0.007136614,-0.0005067819,0.0005125154,0.0021567333,0.0034097682,5.9912465e-05,7.884096e-05,9.8123935e-05,35.5,nan
397804927,4259850,4325386,0,0,0,0,0,401.28412,400.09604,2006.4205,2000.4801,0.085023224,0.009820671,4.3775948e-11,-0.5506763,-0.28776678,-9.722605,0.0023680972,-0.0057019424,0.000107873835,0.000739441,0.0025930922,0.004723366,8.3668085e-05,9.034849e-05,8.483958e-05,35.5,nan
398744804,4259850,4325386,0,0,0,0,0,401.28412,400.09604,2006.4205,2000.4801,0.07874805,0.009586175,6.18791e-11,-0.55393237,-0.28925046,-9.71977,0.002026753,-0.0064773904,-0.000121821286,0.00035732784,0.002240912,0.0040251384,9.345268e-05,6.235136e-05,9.14369e-05,35.5,nan
399789468,4259850,4325386,0,0,0,0,0,401.28412,400.09604,2006.4205,2000.4801,0.08304982,0.009928682,6.4228324e-11,-0.554994,-0.2897195,-9.705175,0.0048213187,-0.0072603505,-0.0014983788,0.0009210141,0.003060953,0.0070748515,4.8993992e-05,0.00012132203,0.00011407208,35.5,nan
