timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
389868660,0,0,1,0,0,0,0,0
390373664,0,0,1,0,0,0,0,0
390883641,0,0,1,0,0,0,0,0
391393642,0,0,1,0,0,0,0,0
391903646,0,0,1,0,0,0,0,0
392413733,0,0,1,0,0,0,0,0
392923641,0,0,1,0,0,0,0,0
393433716,0,0,1,0,0,0,0,0
393943642,0,0,1,0,0,0,0,0
394453679,0,0,1,0,0,0,0,0
394963654,0,0,1,0,0,0,0,0
395473646,0,0,1,0,0,0,0,0
395983642,0,0,1,0,0,0,0,0
396492644,0,0,1,0,0,0,0,0
397002650,0,0,1,0,0,0,0,0
397512641,0,0,1,0,0,0,0,0
398022643,0,0,1,0,0,0,0,0
398532678,0,0,1,0,0,0,0,0
399042643,0,0,1,0,0,0,0,0
399552641,0,0,1,0,0,0,0,0
400062643,0,0,1,0,0,0,0,0
400572662,0,0,1,0,0,0,0,0
401082648,0,0,1,0,0,0,0,0
401592641,0,0,1,0,0,0,0,0
402102646,0,0,1,0,0,0,0,0
402612641,0,0,1,0,0,0,0,0
403121642,0,0,1,0,0,0,0,0
403630641,0,0,1,0,0,0,0,0
404140641,0,0,1,0,0,0,0,0
404650688,0,0,1,0,0,0,0,0
405160686,0,0,1,0,0,0,0,0
405669643,0,0,1,0,0,0,0,0
406179642,0,0,1,0,0,0,0,0
406689642,0,0,1,0,0,0,0,0
407199662,0,0,1,0,0,0,0,0
407709644,0,0,1,0,0,0,0,0
408219642,0,0,1,0,0,0,0,0
408729641,0,0,1,0,0,0,0,0
409239646,0,0,1,0,0,0,0,0
409749788,0,0,1,0,0,0,0,0
410259643,0,0,1,0,0,0,0,0
410768643,0,0,1,0,0,0,0,0
411278653,0,0,1,0,0,0,0,0
411788951,0,0,1,0,0,0,0,0
412298644,0,0,1,0,0,0,0,0
412808656,0,0,1,0,0,0,0,0
413318662,0,0,1,0,0,0,0,0
413828643,0,0,1,0,0,0,0,0
414338665,0,0,1,0,0,0,0,0
414847655,0,0,1,0,0,0,0,0
415357642,0,0,1,0,0,0,0,0
415866643,0,0,1,0,0,0,0,0
416375843,0,0,1,0,0,0,0,0
416885643,0,0,1,0,0,0,0,0
417394656,0,0,1,0,0,0,0,0
417903642,0,0,1,0,0,0,0,0
418412750,0,0,1,0,0,0,0,0
418921641,0,0,1,0,0,0,0,0
419431643,0,0,1,0,0,0,0,0
419941656,0,0,1,0,0,0,0,0
420451669,0,0,1,0,0,0,0,0
420961641,0,0,1,0,0,0,0,0
421471658,0,0,1,0,0,0,0,0
421981686,0,0,1,0,0,0,0,0
422491643,0,0,1,0,0,0,0,0
423000641,0,0,1,0,0,0,0,0
423510641,0,0,1,0,0,0,0,0
424020642,0,0,1,0,0,0,0,0
424530679,0,0,1,0,0,0,0,0
425040655,0,0,1,0,0,0,0,0
425550641,0,0,1,0,0,0,0,0
426060886,0,0,1,0,0,0,0,0
426570750,0,0,1,0,0,0,0,0
427080669,0,0,1,0,0,0,0,0
427590643,0,0,1,0,0,0,0,0
